,se_equities,se_bonds
1953-10-01,-0.006897253370544365,0.005686693304315149
1953-11-01,0.018285665255427075,0.0030304492965442797
1953-12-01,0.004295223006929971,0.004717159609239463
1954-01-01,0.04370224556714697,0.0029721512911817793
1954-02-01,0.023424538220069735,0.004690931649959484
1954-03-01,0.043459201419480786,0.00196196220500644
1954-04-01,0.013868001916317763,0.0033153082212160623
1954-05-01,0.060429099604973,0.0029569141315211045
1954-06-01,0.029948131888038798,0.0026753945929494094
1954-07-01,0.02860653487612197,0.0028913715042189203
1954-08-01,0.019330125215700322,0.0010016483431358747
1954-09-01,0.004596665629970742,0.0032987703266980084
1954-10-01,0.010490551123711889,-0.012882119212444754
1954-11-01,0.04111048521175631,-2.3307800697147663e-05
1954-12-01,0.010226583546775636,0.006086913893937673
1955-01-01,-0.0014895809603212573,0.004331573773941333
1955-02-01,0.004330861577024558,0.0020430714703734143
1955-03-01,0.01818683305805724,-0.00015409948695122022
1955-04-01,-0.017156033256467862,-0.02182406441898843
1955-05-01,-0.02652037714525357,-0.013264489629057019
1955-06-01,-0.023006854782115616,0.0037181113208093475
1955-07-01,0.04914443524226564,0.0015530081819774555
1955-08-01,0.022356340170409217,0.007703756227222636
1955-09-01,0.018541882157114165,0.005964333335933603
1955-10-01,-0.0705569434678498,0.0074316219047747545
1955-11-01,0.011161001532338899,0.005034655157668766
1955-12-01,-0.006906427795787762,0.00278904640983213
1956-01-01,0.03226683469860214,0.010030771457740562
1956-02-01,-0.0035149905239969526,0.004114833594023537
1956-03-01,-0.022898280901843537,0.003204377544723469
1956-04-01,0.01122281393759228,0.001499517649730775
1956-05-01,0.003406586325959582,0.0009522079002355355
1956-06-01,-0.0026007048384348863,0.00040903895940780366
1956-07-01,0.04312534376640742,0.0021706153616798396
1956-08-01,0.0026486896706943153,0.004386387262736546
1956-09-01,-0.02132356364202659,0.002903515443757998
1956-10-01,-0.016405588076864874,0.0022029548514106434
1956-11-01,-0.031129756543812115,-0.004980807836077683
1956-12-01,0.034785549594393395,-0.01461545579905521
1957-01-01,0.04083328719320356,0.0025850492182284412
1957-02-01,0.018381504387736225,-0.001951120398542061
1957-03-01,0.0195330624318375,0.0023355140520877615
1957-04-01,0.01939922934924665,0.002895818307688147
