date,close
2022-01-03,120
2022-01-04,120
2022-01-05,120
2022-01-06,120
2022-01-07,120
2022-01-10,120
2022-01-11,120
2022-01-12,120
2022-01-13,120
2022-01-14,120
2022-01-17,120
2022-01-18,120
2022-01-19,120
2022-01-20,120
2022-01-21,120
2022-01-24,120
2022-01-25,120
2022-01-26,120
2022-01-27,120
2022-01-28,120
2022-01-31,120
2022-02-01,120
2022-02-02,120
2022-02-03,120
2022-02-04,120
2022-02-07,120
2022-02-08,120
2022-02-09,120
2022-02-10,120
2022-02-11,120
2022-02-14,120
2022-02-15,120
2022-02-16,120
2022-02-17,120
2022-02-18,120
2022-02-21,120
2022-02-22,120
2022-02-23,120
2022-02-24,120
2022-02-25,120
2022-02-28,120
2022-03-01,120
2022-03-02,120
2022-03-03,120
2022-03-04,120
2022-03-07,120
2022-03-08,120
2022-03-09,120
2022-03-10,120
2022-03-11,120
2022-03-14,120
2022-03-15,120
2022-03-16,120
2022-03-17,120
2022-03-18,120
2022-03-21,120
2022-03-22,120
2022-03-23,120
2022-03-24,120
2022-03-25,120
2022-03-28,120
2022-03-29,120
2022-03-30,120
2022-03-31,120
2022-04-01,120
2022-04-04,120
2022-04-05,120
2022-04-06,120
2022-04-07,120
2022-04-08,120
2022-04-11,120
2022-04-12,120
2022-04-13,120
2022-04-14,120
2022-04-15,120
2022-04-18,120
2022-04-19,120
2022-04-20,120
2022-04-21,120
2022-04-22,120
2022-04-25,120
2022-04-26,120
2022-04-27,120
2022-04-28,120
2022-04-29,120
2022-05-02,120
2022-05-03,120
2022-05-04,120
2022-05-05,120
2022-05-06,120
2022-05-09,120
2022-05-10,120
2022-05-11,120
2022-05-12,120
2022-05-13,120
2022-05-16,120
2022-05-17,120
2022-05-18,120
2022-05-19,120
2022-05-20,120
2022-05-23,120
2022-05-24,120
2022-05-25,120
2022-05-26,120
2022-05-27,120
2022-05-30,120
2022-05-31,120
2022-06-01,120
2022-06-02,120
2022-06-03,120
2022-06-06,120
2022-06-07,120
2022-06-08,120
2022-06-09,120
2022-06-10,120
2022-06-13,120
2022-06-14,120
2022-06-15,120
2022-06-16,120
2022-06-17,120
2022-06-20,120
2022-06-21,120
2022-06-22,120
2022-06-23,120
2022-06-24,120
2022-06-27,120
2022-06-28,120
2022-06-29,120
2022-06-30,120
2022-07-01,120
2022-07-04,120
2022-07-05,120
2022-07-06,120
2022-07-07,120
2022-07-08,120
2022-07-11,120
2022-07-12,120
2022-07-13,120
2022-07-14,120
2022-07-15,120
2022-07-18,120
2022-07-19,120
2022-07-20,120
2022-07-21,120
2022-07-22,120
2022-07-25,120
2022-07-26,120
2022-07-27,120
2022-07-28,120
2022-07-29,120
2022-08-01,120
2022-08-02,120
2022-08-03,120
2022-08-04,120
2022-08-05,120
2022-08-08,120
2022-08-09,120
2022-08-10,120
2022-08-11,120
2022-08-12,120
2022-08-15,120
2022-08-16,120
2022-08-17,120
2022-08-18,120
2022-08-19,120
2022-08-22,120
2022-08-23,120
2022-08-24,120
2022-08-25,120
2022-08-26,120
2022-08-29,120
2022-08-30,120
2022-08-31,120
2022-09-01,120
2022-09-02,120
2022-09-05,120
2022-09-06,120
2022-09-07,120
2022-09-08,120
2022-09-09,120
2022-09-12,120
2022-09-13,120
2022-09-14,120
2022-09-15,120
2022-09-16,120
2022-09-19,120
2022-09-20,120
2022-09-21,120
2022-09-22,120
2022-09-23,120
2022-09-26,120
2022-09-27,120
2022-09-28,120
2022-09-29,120
2022-09-30,120
2022-10-03,120
2022-10-04,120
2022-10-05,120
2022-10-06,120
2022-10-07,120
2022-10-10,120
2022-10-11,120
2022-10-12,120
2022-10-13,120
2022-10-14,120
2022-10-17,120
2022-10-18,120
2022-10-19,120
2022-10-20,120
2022-10-21,120
2022-10-24,120
2022-10-25,120
2022-10-26,120
2022-10-27,120
