date,cpi
1955-02-01,0.0017030500077410001
1955-03-01,0.00193199381761989
1955-04-01,0.00840725028924025
1955-05-01,0.0029065320483402197
1955-06-01,0.0019829164124466102
1955-07-01,0.012711219363678002
1955-08-01,0.00255543028936496
1955-09-01,0.00539770597496052
1955-10-01,0.010140929088062101
1955-11-01,0.00848896434634983
1955-12-01,0.00431854779680864
1956-01-01,-7.28809853509982e-05
1956-02-01,0.0016763848396502698
1956-03-01,0.006403259841373621
1956-04-01,0.0010845202805293
1956-05-01,0.005055611729019121
1956-06-01,0.00114975567691861
1956-07-01,-0.0018662072925637
1956-08-01,0.00388321587803804
1956-09-01,-0.00401146131805133
1956-10-01,0.00107882623705396
1956-11-01,0.0134348731949136
1956-12-01,0.00758542464199615
1957-01-01,0.0101315696897206
1957-02-01,0.00174131085881461
1957-03-01,-0.00243359755249613
1957-04-01,0.000487906879486992
1957-05-01,0.0036226835725233202
1957-06-01,0.0038872691933915706
1957-07-01,0.00691467293597015
1957-08-01,-0.0028842192006591997
1957-09-01,0.0063360881542699286
1957-10-01,0.007596496030659859
1957-11-01,0.000203762820077137
1957-12-01,0.00230884150482146
1958-01-01,0.0117208672086722
1958-02-01,0.0113841826826491
1958-03-01,0.0018539363040455201
1958-04-01,0.00574978520917333
1958-05-01,-0.0038769877776317296
1958-06-01,0.0006596741209841051
1958-07-01,0.004614674665436171
1958-08-01,-0.00406850843231185
1958-09-01,-0.00158134018580749
1958-10-01,0.000989902989506917
1958-11-01,0.00118670886075959
1958-12-01,0.00283155537995524
1959-01-01,0.00124761967299232
1959-02-01,0.0
1959-03-01,-0.000918153200419548
1959-04-01,-0.0027569909413155897
1959-05-01,0.0017114270668773
1959-06-01,-0.00269417794716787
1959-07-01,0.0013836726625815101
1959-08-01,0.0036188972233188897
1959-09-01,0.00714613518652067
1959-10-01,0.000650956906652653
1959-11-01,0.0014311735623213097
1959-12-01,0.0024035338443547196
1960-01-01,0.0273475471453569
1960-02-01,0.000693874976345271
1960-03-01,-0.000504286434695121
1960-04-01,-0.0006306760847629001
1960-05-01,0.0025242963523920605
1960-06-01,0.00339921943849927
1960-07-01,-0.000627352572145735
1960-08-01,-0.0015065913370996698
1960-09-01,0.0007544322897020079
1960-10-01,-6.28219625583321e-05
1960-11-01,0.004020858201922779
1960-12-01,0.0026281208935610605
1961-01-01,0.0033701554016099893
1961-02-01,0.0027990296697144893
1961-03-01,0.00390770375883894
1961-04-01,0.000988569663268572
1961-05-01,0.00271588173569526
1961-06-01,0.00277008310249292
1961-07-01,-0.001964395334561
1961-08-01,0.0012916717923483598
1961-09-01,0.000614288346950091
1961-10-01,0.0024556449137456
1961-11-01,0.0029395553922467997
1961-12-01,0.000671673688709721
1962-01-01,0.021174029777886298
1962-02-01,0.000717060053779512
1962-03-01,0.00250791186481156
1962-04-01,0.007802727976651558
1962-05-01,0.00786052009456251
1962-06-01,0.00463261596200086
1962-07-01,0.00122577632500596
1962-08-01,0.0023319535941233103
1962-09-01,-0.0026755074739720198
1962-10-01,-0.0027993234968214896
1962-11-01,0.00309959646762974
1962-12-01,0.00373134328358209
1963-01-01,0.0026138475836429698
1963-02-01,0.00382364868779341
1963-03-01,0.0037513706931377906
1963-04-01,0.0039098436062558395
1963-05-01,0.00108820160366552
1963-06-01,0.0037187482121402004
1963-07-01,-0.0005129958960326611
1963-08-01,0.0014827487881378602
1963-09-01,0.0009111098456808749
1963-10-01,0.0030153040905726695
1963-11-01,0.0032331253545095
1963-12-01,0.0036184768474020403
1964-01-01,0.00394343980620803
1964-02-01,0.0012906121990910603
1964-03-01,0.00532391840394531
1964-04-01,-0.000613189140977846
1964-05-01,0.00306782686300761
1964-06-01,0.0021131068231108603
1964-07-01,0.0047167193829419606
1964-08-01,0.00640671600574407
1964-09-01,0.00378663154428714
1964-10-01,0.00207752446558403
1964-11-01,0.003764526160729051
1964-12-01,0.0024459180345689697
1965-01-01,0.0028194979124869803
1965-02-01,0.0008650986753177529
1965-03-01,0.006914807411809189
1965-04-01,0.0033800096571703904
1965-05-01,0.0010694043417816801
1965-06-01,0.004860591817113471
1965-07-01,0.027108914048795996
